State,3 km - Not Hispanic or Latino:  White alone,3 km - Total population,3 km - People of Color,3 km - Percent People of Color,Total - Not Hispanic or Latino:  White alone,Total - Total population,Total - People of Color,Total - Percent People of Color,Beyond - Not Hispanic or Latino:  White alone,Beyond - Total population,Beyond - People of Color,Beyond - Percent People of Color
Delaware,14183.0,23941.0,9758.0,0.40758531389666264,568356.0,783600.0,215244.0,0.2746860643185299,554173.0,759659.0,205486.0,0.27049768382919176
Georgia,66206.0,156279.0,90073.0,0.5763602275417683,5129727.0,8186453.0,3056726.0,0.373388328254007,5063521.0,8030174.0,2966653.0,0.36943819648241744
Florida,116572.0,223922.0,107350.0,0.47940800814569356,10456458.0,15982378.0,5525920.0,0.3457508012887694,10339886.0,15758456.0,5418570.0,0.3438515803832558
Hawaii,4744.0,17192.0,12448.0,0.7240577012563983,276191.0,1211537.0,935346.0,0.7720325503884735,271447.0,1194345.0,922898.0,0.7727231243903562
Louisiana,9569.0,25504.0,15935.0,0.6248039523212046,2794348.0,4468976.0,1674628.0,0.37472297904486396,2784779.0,4443472.0,1658693.0,0.3732876003269515
Illinois,266758.0,675131.0,408373.0,0.6048796455798948,8423408.0,12419293.0,3995885.0,0.3217481864708402,8156650.0,11744162.0,3587512.0,0.30547194427324825
Idaho,0.0,0.0,0.0,0,1138460.0,1293953.0,155493.0,0.12016897058857624,1138460.0,1293953.0,155493.0,0.12016897058857624
Iowa,59572.0,75069.0,15497.0,0.20643674486139418,2713026.0,2926324.0,213298.0,0.07288939980671996,2653454.0,2851255.0,197801.0,0.06937331105074783
Indiana,133993.0,203366.0,69373.0,0.3411238850151943,5220722.0,6080485.0,859763.0,0.14139710894772375,5086729.0,5877119.0,790390.0,0.13448596157402973
Nebraska,74246.0,87563.0,13317.0,0.1520847846693238,1495553.0,1711263.0,215710.0,0.12605309645565876,1421307.0,1623700.0,202393.0,0.12464925786783272
Maine,19956.0,21229.0,1273.0,0.05996514202270479,1230645.0,1274923.0,44278.0,0.03472994055327263,1210689.0,1253694.0,43005.0,0.03430262887115995
North Carolina,87829.0,174680.0,86851.0,0.4972005953743989,5648953.0,8049313.0,2400360.0,0.2982068159108734,5561124.0,7874633.0,2313509.0,0.2937926123033289
New York,672972.0,1266773.0,593801.0,0.4687509127523242,11761679.0,18976457.0,7214778.0,0.3801962610828776,11088707.0,17709684.0,6620977.0,0.37386195033180714
New Mexico,32156.0,71008.0,38852.0,0.5471496169445697,813380.0,1819046.0,1005666.0,0.5528535287178005,781224.0,1748038.0,966814.0,0.5530852304126112
New Jersey,245549.0,561722.0,316173.0,0.5628638365597217,5554478.0,8414350.0,2859872.0,0.33988032349498176,5308929.0,7852628.0,2543699.0,0.32392964495452986
New Hampshire,11516.0,12008.0,492.0,0.040972684876748836,1175083.0,1235786.0,60703.0,0.04912096430935453,1163567.0,1223778.0,60211.0,0.04920091715981167
Wisconsin,193872.0,238255.0,44383.0,0.18628360370191602,4687649.0,5363675.0,676026.0,0.12603783786303235,4493777.0,5125420.0,631643.0,0.12323731518587745
Nevada,21176.0,61663.0,40487.0,0.6565849861343107,1301738.0,1998257.0,696519.0,0.34856327289232564,1280562.0,1936594.0,656032.0,0.338755567764849
Rhode Island,32940.0,40917.0,7977.0,0.19495564190923087,858665.0,1048319.0,189654.0,0.1809124894235438,825725.0,1007402.0,181677.0,0.18034210771866643
