State,3 km - Not Hispanic or Latino:  White alone,3 km - Total population,3 km - People of Color,3 km - Percent People of Color,Total - Not Hispanic or Latino:  White alone,Total - Total population,Total - People of Color,Total - Percent People of Color,Beyond - Not Hispanic or Latino:  White alone,Beyond - Total population,Beyond - People of Color,Beyond - Percent People of Color
Montana,0.0,0.0,0.0,0,857768.0,973739.0,115971.0,0.11909864963814738,857768.0,973739.0,115971.0,0.11909864963814738
West Virginia,40675.0,46286.0,5611.0,0.12122456034222011,1719766.0,1840802.0,121036.0,0.06575177558477228,1679091.0,1794516.0,115425.0,0.06432096453862769
Pennsylvania,285182.0,479306.0,194124.0,0.4050105777937268,10124301.0,12612705.0,2488404.0,0.19729344339695568,9839119.0,12133399.0,2294280.0,0.18908798762819884
Texas,139903.0,520924.0,381021.0,0.7314329921447275,11286712.0,24311891.0,13025179.0,0.5357534302864388,11146809.0,23790967.0,12644158.0,0.5314688553853233
South Carolina,10701.0,20643.0,9942.0,0.48161604417962506,2907675.0,4511428.0,1603753.0,0.35548677713575394,2896974.0,4490785.0,1593811.0,0.35490699287541044
Vermont,52395.0,57616.0,5221.0,0.09061718966953625,590772.0,624258.0,33486.0,0.053641282931095796,538377.0,566642.0,28265.0,0.04988158308067528
Utah,60766.0,94390.0,33624.0,0.3562241762898612,2158993.0,2657236.0,498243.0,0.18750423372255984,2098227.0,2562846.0,464619.0,0.1812902531014349
Washington,91661.0,153967.0,62306.0,0.4046711308267356,4837275.0,6561297.0,1724022.0,0.2627562812657315,4745614.0,6407330.0,1661716.0,0.25934609267822945
Alaska,1376.0,2796.0,1420.0,0.5078683834048641,444238.0,691189.0,246951.0,0.35728433178190044,442862.0,688393.0,245531.0,0.35667271456856764
Massachusetts,133713.0,192217.0,58504.0,0.30436433822190545,5013857.0,6477096.0,1463239.0,0.22590972868087797,4880144.0,6284879.0,1404735.0,0.2235102696487872
Michigan,107021.0,295704.0,188683.0,0.6380806482157834,7654981.0,9952687.0,2297706.0,0.23086288155148454,7547960.0,9656983.0,2109023.0,0.21839357074564592
Alabama,21452.0,33015.0,11563.0,0.3502347417840376,3188814.0,4712651.0,1523837.0,0.3233502756728644,3167362.0,4679636.0,1512274.0,0.3231606047991767
California,290199.0,2073452.0,1783253.0,0.8600406471912541,15107042.0,36637290.0,21530248.0,0.5876594038478282,14816843.0,34563838.0,19746995.0,0.5713195102928095
Kentucky,69434.0,95021.0,25587.0,0.2692773176455731,3724731.0,4285828.0,561097.0,0.13091915961163164,3655297.0,4190807.0,535510.0,0.12778207156760021
Arizona,29731.0,99657.0,69926.0,0.7016667168387569,3667031.0,6246816.0,2579785.0,0.4129759864865557,3637300.0,6147159.0,2509859.0,0.408295767199124
Arkansas,1238.0,4742.0,3504.0,0.7389287220582033,2158805.0,2872684.0,713879.0,0.24850592686142994,2157567.0,2867942.0,710375.0,0.2476950370683926
South Dakota,7992.0,11095.0,3103.0,0.27967552951780084,682633.0,799462.0,116829.0,0.1461345254683775,674641.0,788367.0,113726.0,0.14425515020288773
Tennessee,20103.0,42448.0,22345.0,0.5264087825103656,4750495.0,6234968.0,1484473.0,0.2380883109584524,4730392.0,6192520.0,1462128.0,0.2361119544224322
Colorado,98853.0,187080.0,88227.0,0.4716003848620911,3451276.0,4887061.0,1435785.0,0.2937931407035844,3352423.0,4699981.0,1347558.0,0.28671562714828
Connecticut,28956.0,48373.0,19417.0,0.4014016083352283,2567005.0,3545837.0,978832.0,0.27605104239140155,2538049.0,3497464.0,959415.0,0.2743173339310998
Mississippi,264.0,9757.0,9493.0,0.9729425028184893,1722204.0,2941991.0,1219787.0,0.4146127571430368,1721940.0,2932234.0,1210294.0,0.4127549165585011
Missouri,105100.0,158038.0,52938.0,0.334970070489376,4818816.0,5922314.0,1103498.0,0.18632885726761533,4713716.0,5764276.0,1050560.0,0.18225359091063648
Oklahoma,11897.0,18898.0,7001.0,0.37046248280241295,2559664.0,3675339.0,1115675.0,0.30355703242612453,2547767.0,3656441.0,1108674.0,0.3032112373753604
Oregon,10318.0,13832.0,3514.0,0.2540485829959514,2984428.0,3761925.0,777497.0,0.20667530586069632,2974110.0,3748093.0,773983.0,0.20650047904360963
Virginia,23481.0,62058.0,38577.0,0.6216281543072609,5151070.0,7841754.0,2690684.0,0.3431227248393663,5127589.0,7779696.0,2652107.0,0.3409011097605871
Maryland,75675.0,157086.0,81411.0,0.518257514991788,3179571.0,5696423.0,2516852.0,0.44183025031673384,3103896.0,5539337.0,2435441.0,0.4396629055065615
Wyoming,0.0,0.0,0.0,0,470732.0,545579.0,74847.0,0.13718819822610476,470732.0,545579.0,74847.0,0.13718819822610476
Ohio,132767.0,237997.0,105230.0,0.44214843044240054,9398011.0,11512431.0,2114420.0,0.18366407581509067,9265244.0,11274434.0,2009190.0,0.17820761556633352
Minnesota,145934.0,221458.0,75524.0,0.3410308049381824,4396841.0,5241914.0,845073.0,0.16121458688562995,4250907.0,5020456.0,769549.0,0.15328268985924784
Puerto Rico,0.0,0.0,0.0,0,33731.0,3762322.0,3728591.0,0.9910345260187724,33731.0,3762322.0,3728591.0,0.9910345260187724
Kansas,15906.0,35110.0,19204.0,0.546966676160638,2220952.0,2809329.0,588377.0,0.20943684417168654,2205046.0,2774219.0,569173.0,0.2051651293571272
North Dakota,41313.0,46251.0,4938.0,0.10676525912953233,590077.0,659858.0,69781.0,0.10575154048295239,548764.0,613607.0,64843.0,0.10567513082477872
District of Columbia,0.0,0.0,0.0,0,194910.0,584400.0,389490.0,0.6664784394250514,194910.0,584400.0,389490.0,0.6664784394250514
Delaware,14093.0,24656.0,10563.0,0.428414990266061,585658.0,881278.0,295620.0,0.3354446610490674,571565.0,856622.0,285057.0,0.33276871245426803
Georgia,28419.0,90162.0,61743.0,0.6848006920875757,5381770.0,9468815.0,4087045.0,0.43163215249215453,5353351.0,9378653.0,4025302.0,0.4291983081152485
Florida,81317.0,204699.0,123382.0,0.6027484257373021,10932256.0,18511620.0,7579364.0,0.40943817991078035,10850939.0,18306921.0,7455982.0,0.40727667967759296
Hawaii,9641.0,24755.0,15114.0,0.6105433245808928,306616.0,1333591.0,1026975.0,0.770082431570099,296975.0,1308836.0,1011861.0,0.7730999147333967
Louisiana,12695.0,32443.0,19748.0,0.6086983324600068,2711272.0,4429940.0,1718668.0,0.38796642843921136,2698577.0,4397497.0,1698920.0,0.38633795543237437
Illinois,236381.0,602381.0,366000.0,0.6075888847755823,8202650.0,12745359.0,4542709.0,0.35642063907340704,7966269.0,12142978.0,4176709.0,0.34396084716615644
Idaho,0.0,0.0,0.0,0,1292746.0,1526797.0,234051.0,0.15329542827238984,1292746.0,1526797.0,234051.0,0.15329542827238984
Iowa,42107.0,58679.0,16572.0,0.2824179007822219,2696669.0,3016267.0,319598.0,0.10595812638602617,2654562.0,2957588.0,303026.0,0.10245713737004614
Indiana,70558.0,107438.0,36880.0,0.34326774511811464,5271451.0,6417398.0,1145947.0,0.1785687906531588,5200893.0,6309960.0,1109067.0,0.17576450563870452
Nebraska,66236.0,83454.0,17218.0,0.20631725261820882,1494958.0,1799125.0,304167.0,0.16906385048287362,1428722.0,1715671.0,286949.0,0.16725176330426988
Maine,19954.0,21989.0,2035.0,0.09254627313656828,1258372.0,1327665.0,69293.0,0.05219162966561595,1238418.0,1305676.0,67258.0,0.05151201370018289
