H084001 : H84. Value for All Owner-occupied Housing Units [25] : Total: Owner-occupied housing units
1.000000 km,3.000000 km,5.000000 km,total
94855,1855611,3461533,70736224

H081001 : H81. Aggregate Value (Dollars) for Specified Owner-occupied Housing Units by Mortgage Status [3] : Aggregate value: Specified owner-occupied housing units
1.000000 km,3.000000 km,5.000000 km,total
9965740000,220475575000,447006317500,8849273890000

