P067001 : P67. Aggregate Earnings in 1999 (Dollars) for Households [1] : Aggregate earnings in 1999 Households
1.000000 km,3.000000 km,5.000000 km,total
8384777100,152170923500,299103817200,4832487980100

P058001 : P58. Earnings in 1999 for Households [3] : Total: Households
1.000000 km,3.000000 km,5.000000 km,total
220050,3723469,6639610,106800938

