Variable,3.000000 km,total,Beyond
C17002_001E : C17002.  Ratio of Income to Poverty Level in the Past 12 Months : Total:,876744,299856106,298979362
C17002_003E : C17002.  Ratio of Income to Poverty Level in the Past 12 Months : .50 to .99,79343,23893357,23814014
C17002_002E : C17002.  Ratio of Income to Poverty Level in the Past 12 Months : Under .50,66205,18704526,18638321
C17002_005E : C17002.  Ratio of Income to Poverty Level in the Past 12 Months : 1.25 to 1.49,44304,13914450,13870146
C17002_004E : C17002.  Ratio of Income to Poverty Level in the Past 12 Months : 1.00 to 1.24,41868,13558766,13516898
C17002_007E : C17002.  Ratio of Income to Poverty Level in the Past 12 Months : 1.85 to 1.99,26025,8095564,8069539
C17002_006E : C17002.  Ratio of Income to Poverty Level in the Past 12 Months : 1.50 to 1.84,59351,19236804,19177453
C17002_008E : C17002.  Ratio of Income to Poverty Level in the Past 12 Months : 2.00 and over,559648,202452639,201892991
