tract ID,within 3km,land area,population,population density,percent people of color,mean household income,percent below poverty,mean owner-occupied housing value,percent with a degree
44001030100,0,4372488.0,4999,0.0011432850130177602,0.08141628325665133,93240.89068825911,0.022879932829554996,0.0,0.6358287021902582
44001030200,0,4563291.0,3139,0.0006878807422099533,0.07104173303599873,96568.98895497026,0.0270786874800892,440937.5,0.6407214048410061
44001030300,0,6069656.0,4590,0.000756220780881157,0.14030501089324618,120632.04968944099,0.036601307189542485,487192.74680993956,0.7040054310930075
44001030400,0,6271760.0,3773,0.0006015855198540761,0.04823747680890538,221997.40157480314,0.015107341637953882,0.0,0.8064250411861614
44001030500,0,1505566.0,3285,0.0021819036827345996,0.037747336377473364,54744.69746258946,0.17473363774733638,305907.5342465753,0.2959514170040486
44001030601,0,11070657.0,3469,0.0003133508697812605,0.033727298933410206,88175.3499222395,0.03209658421672556,356903.57852882706,0.4418406476352791
44001030602,0,3285904.0,4057,0.001234667841787222,0.07172787774217403,70064.10848240046,0.06790744466800805,337016.8776371308,0.34415369327591916
44001030700,0,1085911.0,3808,0.0035067330563922825,0.027573529411764705,47769.75585450922,0.21664915966386555,394907.06319702603,0.3313679245283019
44001030800,0,5984114.0,5081,0.0008490814179007954,0.04900610116118874,73897.88110653326,0.09874522640480088,401425.85551330796,0.3620751341681574
44001030901,0,6531621.0,7169,0.0010975835860653888,0.03138513042265309,99096.91275167785,0.0317367884699374,362811.7505995204,0.39118122977346276
44001030902,0,11843971.0,7131,0.0006020784752005894,0.0236993409059038,87423.36606840501,0.051998841251448435,418220.652173913,0.4577451169986463
44003020101,0,6348773.0,6020,0.000948214718025042,0.09302325581395349,74907.40604274134,0.03571428571428571,0.0,0.47118874773139746
44003020102,0,2637755.0,4925,0.0018671180606235226,0.14923857868020304,55449.184909175594,0.16722830665543387,0.0,0.2505399568034557
44003020200,0,2868654.0,5054,0.0017618018764200911,0.14740799366838148,62901.44439094848,0.053423031262366444,0.0,0.24085537422622397
44003020300,0,2175865.0,6235,0.00286552704326785,0.1582999198075381,39929.292929292926,0.23429214205367185,204924.5939675174,0.14302798373594833
44003020400,0,1673935.0,2795,0.0016697183582397167,0.02254025044722719,63511.18124436429,0.07155635062611806,247761.8135376756,0.2605744125326371
44003020500,0,4459963.0,4329,0.0009706358550508155,0.09078309078309078,69382.0953436807,0.1182093728141758,0.0,0.3399308828149544
44003020601,0,9657174.0,6940,0.0007186367357572723,0.11585014409221903,86326.56960873521,0.08357348703170028,0.0,0.3541666666666667
44003020602,0,6519196.0,3593,0.0005511415824896199,0.007236292791539103,65240.16393442623,0.08456600614010605,208975.13187641295,0.33033971105037097
44003020603,0,8504035.0,6514,0.0007659893215397162,0.022566779244703714,67387.74907749078,0.044058949953945346,0.0,0.37331910352187836
44003020604,0,4329452.0,4968,0.0011474893358328028,0.0607890499194847,56186.23013962446,0.09742351046698873,229313.49206349207,0.21154913936701833
44003020701,0,56853626.0,1864,3.278594754888633e-05,0.06276824034334764,89979.94310099573,0.05847639484978541,326238.63636363635,0.3946415640839971
44003020702,0,43819662.0,4758,0.00010858139435215179,0.059688944934846576,85798.76543209876,0.06300726185390859,336686.3354037267,0.3855421686746988
44003020703,0,23242902.0,6403,0.00027548195143618467,0.03857566765578635,91252.15588723052,0.04493292387263617,379911.5154536391,0.4774251229324989
44003020800,0,130171360.0,5974,4.589335165584811e-05,0.024104452628054905,95881.92143871273,0.06913290927351858,382466.2344678552,0.40825806451612906
44003020901,0,2534358.0,3813,0.0015045230389708162,0.12562286913191711,68832.32484076433,0.09449855225059225,401131.8407960199,0.5076197387518142
44003020903,0,31818469.0,5909,0.00018570975240826326,0.07260111694026061,167856.30165289255,0.02521577255034693,621433.3511777302,0.7502590673575129
44003020904,0,8104003.0,3465,0.0004275664754813146,0.03751803751803752,149461.26331811264,0.021701388888888888,483051.28205128206,0.7524590163934426
44003021001,1,1515843.0,2579,0.0017013635317113976,0.07250872431174873,62025.722543352604,0.04381846635367762,0.0,0.39316702819956617
44003021002,1,2707522.0,4939,0.001824177236602325,0.15671188499696295,74626.86219739293,0.06647338993580451,0.0,0.419760304004677
44003021100,1,6820493.0,4862,0.0007128516956178974,0.12690250925545044,58423.87575336115,0.06663924310983134,0.0,0.2900360810435748
44003021200,1,2277203.0,3844,0.0016880357175008112,0.08532778355879292,62286.90036900369,0.05489073881373569,0.0,0.36817288801571707
44003021300,0,4171595.0,4779,0.0011456049784315113,0.04938271604938271,72964.25511661114,0.07318096036905011,0.0,0.44869614512471656
44003021401,0,2444065.0,4027,0.0016476648534306576,0.060342686863670225,67546.31771150335,0.07126893469083685,238952.54237288135,0.3270093135563988
44003021402,0,2192095.0,3925,0.001790524589490875,0.11566878980891719,66661.81336863004,0.07833333333333334,0.0,0.34306569343065696
44003021501,0,1976482.0,3098,0.00156743142613998,0.005487411233053583,67429.54173486089,0.10684312459651388,245570.9071949948,0.402088772845953
44003021502,0,3740327.0,4484,0.0011988256641732127,0.04861730597680642,69787.76470588235,0.07841823056300268,0.0,0.35335917312661497
44003021600,0,3725691.0,1554,0.00041710383389282685,0.007722007722007722,122651.68195718655,0.019305019305019305,489426.6055045872,0.6096563011456628
