Variable,1.000000 km,3.000000 km,5.000000 km,total,Beyond
B25075_001E : B25075.  Value for Owner-Occupied Housing Units : Total:,69440,1402031,2852272,76978405,72654662
B25079_001E : B25079.  Aggregate Value (Dollars) for Owner-Occupied Housing Units by Age of Householder : Aggregate value (dollars):,11171007500,180605090000,430860642500,20397875122500,19775238382500
