Variable,1.000000 km,3.000000 km,5.000000 km,total,Beyond
B01003_001E : B01003.  Total Population : Total,440877,7669497,14697250,307727594,284919970
B00001_001E : B00001.  Unweighted Sample Count of the Population : Total,28463,496488,944149,22904459,21435359
ALAND10 : 2010 Census land area (square meters),218846949,6087588768,13680297938,9158021763139,9138035029484
