tract ID,within 3km,land area,population,population density,white,percent people of color,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,race population,Hispanic or Latino,Hispanic or Latino population,aggregate income,income population,mean household income,poverty under 1,poverty population,percent below poverty,housing value,housing population,mean owner-occupied housing value,school population,with a degree,percent with a degree
54001965500,0,341248126.0,3812,11.170757315748599,3762,0.013116474291710388,5,28,0,5,0,7,3812,10,3812,32232700,1495,21560.334448160535,841,3812,0.22061909758656872,40842500,1270,32159.44881889764,2612,311,0.11906584992343032
54001965600,0,39248565.0,3467,88.334439743211,3287,0.05191808479953851,25,64,11,0,15,60,3467,20,3467,27680900,1368,20234.57602339181,943,3097,0.30448821440103324,45112500,822,54881.38686131387,2174,483,0.22217111315547378
54001965700,0,425077860.0,4839,11.383796841359839,4709,0.026865054763380865,13,53,20,0,0,30,4839,14,4839,50814400,1912,26576.569037656904,894,4777,0.18714674481892402,52980000,1654,32031.438935912938,3403,485,0.1425213047311196
54001965800,0,77764258.0,3439,44.223401450059484,3398,0.0119220703692934,0,0,0,0,0,38,3439,3,3439,28261600,1357,20826.52910832719,731,3427,0.21330609862853808,48560000,1062,45725.04708097928,2321,269,0.11589831968978888
54003971100,0,73066960.0,9317,127.5131742171838,9106,0.022646774712890415,85,5,23,0,14,52,9317,32,9317,139254500,3541,39326.32024851737,754,9296,0.08111015490533563,250760000,3012,83253.65205843294,6184,1128,0.18240620957309184
54003971200,0,213182201.0,10030,47.04895602424144,9672,0.03569292123629113,96,41,14,2,15,95,10030,106,10030,176817700,3840,46046.276041666664,905,10003,0.09047285814255723,322872500,3296,97958.8895631068,6709,1736,0.2587568937248472
54003971300,0,33839848.0,7201,212.79646409759286,6297,0.12553811970559645,636,0,24,0,40,121,7201,124,7201,87656500,2841,30854.1006687786,1177,6971,0.168842346865586,119900000,1632,73468.13725490196,4629,735,0.15878159429682437
54003971400,0,70273244.0,6601,93.9333325781858,5937,0.100590819572792,444,7,43,0,16,126,6601,51,6601,101854800,2606,39084.72755180353,751,6584,0.11406439854191981,185230000,1879,98579.03139968068,4315,1136,0.26326767091541137
54003971500,0,3344992.0,3690,1103.1416517588084,2895,0.21544715447154472,448,68,27,0,69,119,3690,133,3690,38864800,1595,24366.64576802508,724,3590,0.20167130919220055,57015000,911,62585.07135016465,2443,240,0.09823986901350798
54003971600,0,4322156.0,4501,1041.3784231758411,3639,0.19151299711175293,562,58,28,4,65,65,4501,155,4501,60172100,1977,30436.064744562467,667,4481,0.14885070296808747,104622500,1085,96426.26728110599,3072,778,0.2532552083333333
54003971700,0,4040075.0,5184,1283.1444960798995,4613,0.11014660493827161,358,15,38,0,0,142,5184,28,5184,57620600,2485,23187.364185110662,1019,5140,0.19824902723735408,84262500,1176,71651.78571428571,3657,668,0.18266338528848783
54003971800,0,235639728.0,6498,27.575995164957924,6287,0.0324715297014466,27,10,0,0,60,85,6498,104,6498,90532700,2334,38788.64610111397,748,6437,0.116203200248563,140410000,1945,72190.23136246786,4167,677,0.1624670026397888
54003971900,0,49882279.0,5898,118.23838281326321,5579,0.05408613089182774,213,0,7,0,57,14,5898,85,5898,89224300,2238,39867.87310098302,355,5881,0.060363883693249444,157947500,1937,81542.33350542076,3923,772,0.19678817231710427
