tract ID,within 3km,land area,population,population density,white,percent people of color,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,race population,Hispanic or Latino,Hispanic or Latino population,aggregate income,income population,mean household income,poverty under 1,poverty population,percent below poverty,housing value,housing population,mean owner-occupied housing value,school population,with a degree,percent with a degree
06001400100,0,6883893.0,2464,357.93699873022433,1884,0.2353896103896104,127,11,276,0,24,87,2464,113,2464,152017200,1091,139337.48854262146,72,2461,0.029256399837464444,723462500,1027,704442.5511197663,2039,1735,0.8509073075036783
06001400200,0,595515.0,1944,3264.401400468502,1555,0.2001028806584362,50,0,142,0,47,95,1944,116,1944,75710800,916,82653.71179039302,133,1944,0.0684156378600823,237950000,505,471188.11881188117,1605,1275,0.794392523364486
06001400300,0,1104919.0,4878,4414.803257071333,3313,0.3208282082820828,659,0,353,15,134,305,4878,284,4878,158925600,2500,63570.24,463,4878,0.0949159491594916,388275000,1004,386728.0876494024,3915,2698,0.6891443167305237
06001400400,0,703688.0,3659,5199.7476154204705,2328,0.36376059032522545,617,31,246,7,83,228,3659,249,3659,111110700,1806,61523.08970099668,346,3659,0.09456135556162885,254572500,721,353082.52427184465,2832,2094,0.739406779661017
06001400500,0,588111.0,3415,5806.726961406945,1263,0.6301610541727672,1488,33,183,0,180,155,3415,347,3415,69938600,1541,45385.20441271902,476,3372,0.14116251482799524,118965000,586,203011.94539249147,2345,1212,0.5168443496801706
06001400600,0,297855.0,1702,5714.189790334223,410,0.7591069330199764,1030,0,65,8,66,91,1702,155,1702,33472300,726,46105.096418732785,247,1689,0.14624037892243932,56247500,278,202329.1366906475,1227,354,0.2885085574572127
06001400700,0,880513.0,4451,5055.007705735179,796,0.8211637834194563,2998,7,175,41,143,183,4451,313,4451,58835400,1797,32740.901502504174,1054,4412,0.23889392565729828,105450000,718,146866.29526462394,3003,813,0.2707292707292707
06001400800,0,695230.0,3367,4843.001596593933,732,0.7825957825957826,1938,17,222,26,230,149,3367,385,3367,48333000,1352,35749.26035502958,672,3323,0.20222690340054167,58802500,454,129520.92511013216,2356,770,0.32682512733446517
06001400900,0,425163.0,2457,5778.960069432194,515,0.7903947903947904,1525,20,166,0,22,133,2457,106,2457,34020400,1059,32125.023607176583,474,2448,0.19362745098039216,44862500,378,118683.86243386244,1765,553,0.313314447592068
06001401000,0,1196327.0,5709,4772.106623021967,533,0.906638640742687,4110,15,375,0,221,183,5709,512,5709,76799400,2302,33362.03301476977,1754,5709,0.30723419162725524,97387500,738,131961.38211382114,3707,861,0.23226328567574858
06001401100,0,886376.0,4007,4520.654891377925,1395,0.6518592463189419,1316,45,506,0,263,370,4007,469,4007,74136200,1955,37921.32992327366,814,3997,0.203652739554666,62587500,354,176800.84745762713,2876,1431,0.4975660639777469
06001401200,0,667273.0,2322,3479.835089985658,1452,0.37467700258397935,451,0,150,13,67,102,2322,130,2322,56686600,1193,47516.01005867561,257,2322,0.11068044788975022,89925000,389,231169.66580976863,1802,1121,0.6220865704772475
06001401300,1,851165.0,2920,3430.59218835361,542,0.8143835616438356,1514,0,436,0,111,216,2920,289,2920,29795000,1353,22021.433850702142,1089,2708,0.4021418020679468,3150000,60,52500.0,2121,543,0.256011315417256
06001401400,1,760336.0,4765,6266.966183371562,281,0.9410283315844701,3003,14,465,56,461,327,4765,743,4765,32474400,1474,22031.478968792402,2365,4754,0.4974758098443416,22410000,262,85534.35114503816,2764,306,0.11070911722141824
