tract ID,within 3km,land area,population,population density,white,percent people of color,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,race population,Hispanic or Latino,Hispanic or Latino population,aggregate income,income population,mean household income,poverty under 1,poverty population,percent below poverty,housing value,housing population,mean owner-occupied housing value,school population,with a degree,percent with a degree
04001940100,0,8607339.0,351,40.77915369663028,5,0.9857549857549858,6,300,0,0,18,8,351,41,351,908300,94,9662.765957446809,286,331,0.8640483383685801,840000,36,23333.333333333332,149,4,0.026845637583892617
04001940300,0,2008057710.0,19,0.009461879459629674,15,0.21052631578947367,0,4,0,0,0,0,19,0,19,426000,13,32769.230769230766,0,19,0.0,432500,7,61785.71428571428,18,7,0.3888888888888889
04001942600,0,1524744635.0,1809,1.1864281785126596,5,0.9972360420121614,0,1752,0,0,0,44,1809,31,1809,7641800,437,17486.956521739132,746,1809,0.41238253178551687,24590000,382,64371.7277486911,860,53,0.06162790697674419
04001942700,0,2990088279.0,5657,1.8919173857609037,62,0.9890401272759413,0,5549,0,0,0,46,5657,8,5657,27802100,1587,17518.65154379332,2727,5650,0.48265486725663714,54095000,1331,40642.37415477085,2889,354,0.122533748701973
04001944000,0,775078530.0,5830,7.521818466575251,199,0.9658662092624357,0,5546,0,0,22,50,5830,43,5830,47391700,1627,29128.272894898586,2112,5799,0.3642007242628039,25052500,1164,21522.766323024054,2982,634,0.21260898725687458
04001944100,0,1792116861.0,5207,2.9055024888803835,99,0.9809871327059727,12,4942,27,33,5,89,5207,79,5207,17642700,1353,13039.68957871397,3043,5083,0.5986622073578596,33707500,1060,31799.528301886792,2428,294,0.12108731466227347
04001944200,0,994299968.0,8839,8.88967141151512,324,0.9633442697137685,6,8299,49,6,15,130,8839,70,8839,59247600,2213,26772.525982828738,3966,8596,0.46137738483015356,52942500,1299,40756.35103926097,4075,750,0.18404907975460122
04001944300,0,2629913935.0,6881,2.6164354309944367,111,0.9838686237465485,0,6632,17,0,0,98,6881,83,6881,33221400,1977,16803.94537177542,3481,6881,0.5058857724167999,56962500,1472,38697.350543478264,3317,349,0.10521555622550498
04001944900,0,4282964828.0,9808,2.2900024618180215,258,0.973694942903752,0,9522,0,0,17,11,9808,37,9808,61672900,2710,22757.527675276753,3665,9703,0.3777182314748016,87015000,2166,40173.13019390582,5062,1002,0.1979454760964046
04001945000,0,1273569560.0,9027,7.087952070713751,246,0.9727484214024593,0,8621,0,0,16,127,9027,51,9027,73575500,2493,29512.835940633773,3030,8953,0.33843404445437286,81060000,1660,48831.32530120482,4645,924,0.19892357373519914
04001945100,0,1614995002.0,1976,1.223533198277972,230,0.8836032388663968,0,1702,0,0,5,9,1976,35,1976,11904300,570,20884.736842105263,704,1976,0.3562753036437247,36825000,367,100340.59945504086,972,139,0.14300411522633744
04001970200,0,5159165483.0,3466,0.6718140775714289,2762,0.20311598384304674,33,100,14,0,225,143,3466,465,3466,31185900,1275,24459.529411764706,768,3436,0.22351571594877764,33702500,1125,29957.777777777777,2290,508,0.22183406113537119
04001970300,0,1378288126.0,3436,2.492947544989588,2128,0.3806752037252619,70,195,3,10,468,113,3436,964,3436,28143800,1037,27139.63355834137,536,2960,0.1810810810810811,32727500,737,44406.377204884666,2096,375,0.17891221374045801
04001970400,0,2569536220.0,7117,2.7697605290031677,5682,0.20162990023886468,17,212,30,9,363,290,7117,1005,7117,85308200,2546,33506.75569520817,734,7016,0.10461801596351197,161785000,2038,79384.20019627086,4434,1107,0.2496617050067659
