tract ID,within 3km,land area,population,population density,white,percent people of color,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,race population,Hispanic or Latino,Hispanic or Latino population,aggregate income,income population,mean household income,poverty under 1,poverty population,percent below poverty,housing value,housing population,mean owner-occupied housing value,school population,with a degree,percent with a degree
40001976600,0,205740167.0,2655,12.904626445646853,1736,0.34613935969868176,4,710,1,0,16,182,2655,35,2655,23824100,916,26008.842794759825,442,2476,0.17851373182552505,17365000,753,23061.08897742364,1637,143,0.08735491753207086
40001976700,0,361046600.0,5078,14.064666444719323,3023,0.40468688460023633,11,1530,0,5,77,395,5078,135,5078,46144700,1845,25010.677506775068,832,4974,0.16726980297547245,37582500,1311,28667.04805491991,3144,368,0.11704834605597965
40001976800,0,476756510.0,4531,9.503803104859543,1796,0.6036195100419334,0,2305,0,11,28,360,4531,101,4531,39776300,1585,25095.457413249213,1028,4479,0.22951551685644117,27420000,1299,21108.545034642033,2786,397,0.14249820531227567
40001976900,0,39832062.0,4004,100.52203674517277,1657,0.5861638361638362,7,1921,3,0,91,288,4004,269,4004,30470600,1552,19633.118556701033,1138,3885,0.29292149292149294,38715000,790,49006.329113924054,2406,250,0.10390689941812137
40001977000,0,401991162.0,4770,11.86593251520291,1819,0.6186582809224319,0,2557,0,0,37,332,4770,110,4770,41059900,1571,26136.155315085933,1330,4738,0.28070915998311524,27922500,1324,21089.501510574017,2791,313,0.1121461841633823
40003955600,0,1095339737.0,1621,1.4799061380167933,1529,0.0567550894509562,7,29,0,0,17,23,1621,36,1621,17122700,722,23715.650969529084,212,1617,0.1311069882498454,12445000,585,21273.504273504273,1180,253,0.21440677966101696
40003955700,0,297899194.0,1468,4.927841463042024,1416,0.035422343324250684,0,0,0,0,19,22,1468,30,1468,15389600,629,24466.77265500795,172,1442,0.11927877947295423,20580000,503,40914.51292246521,1027,232,0.22590068159688412
40003956000,0,850864842.0,3016,3.5446287719571803,2493,0.17340848806366047,266,116,1,0,71,54,3016,97,3016,20829800,842,24738.47980997625,306,1969,0.15540883697308278,15740000,708,22231.638418079096,2336,301,0.1288527397260274
40005987600,0,939168665.0,2216,2.359533577496434,1555,0.2982851985559567,247,278,0,0,20,106,2216,33,2216,13619000,553,24627.48643761302,275,1419,0.1937984496124031,9497500,477,19910.901467505242,1566,149,0.09514687100893997
40005987700,0,163073391.0,3828,23.474093330162003,2747,0.28239289446186,382,417,0,0,25,248,3828,52,3828,34237400,1590,21532.955974842767,813,3661,0.22207047254848403,36392500,988,36834.514170040486,2525,398,0.15762376237623762
40005987800,0,651671557.0,3429,5.2618530963443595,2840,0.17177019539224264,0,456,0,0,5,119,3429,20,3429,34757500,1344,25861.23511904762,536,3420,0.1567251461988304,19815000,1130,17535.398230088496,2249,333,0.1480658070253446
40005987900,0,772664517.0,4406,5.702345459200115,3312,0.24829777576032683,184,462,6,2,9,408,4406,34,4406,35370600,1482,23866.801619433198,802,3782,0.21205711263881544,17580000,1196,14698.996655518395,3037,344,0.11326967402041488
40007951600,0,1970564182.0,2773,1.407211206480764,2230,0.19581680490443562,17,35,3,0,157,42,2773,476,2773,38553100,1015,37983.34975369458,301,2763,0.10893955845095911,32480000,800,40600.0,1713,328,0.19147694103911267
40007951700,0,2709915450.0,1404,0.5180973450666145,1313,0.06481481481481481,0,40,0,0,21,20,1404,31,1404,17676100,566,31229.858657243818,210,1402,0.14978601997146934,6467500,455,14214.285714285714,1024,256,0.25
40007951800,0,19518187.0,1680,86.07356820589945,1447,0.1386904761904762,8,45,2,5,66,30,1680,148,1680,21612400,657,32895.58599695586,162,1583,0.10233733417561591,29235000,521,56113.243761996164,1161,255,0.21963824289405684
40009966100,0,107414550.0,6540,60.885606279596196,5621,0.14051987767584098,218,167,26,0,154,102,6540,422,6540,70612300,2576,27411.60714285714,1291,6453,0.20006198667286534,98070000,1716,57150.34965034965,4097,752,0.18354893824749816
40009966200,0,369948327.0,5916,15.991422499391382,5282,0.10716700473292766,105,189,15,0,151,36,5916,307,5916,72586000,2275,31905.934065934067,882,5740,0.15365853658536585,101195000,1676,60378.878281622914,3830,964,0.25169712793733684
40009966500,0,978740252.0,1704,1.741013508454335,1528,0.10328638497652583,10,29,0,0,28,66,1704,76,1704,15466400,717,21570.990237099024,386,1682,0.2294887039239001,10935000,557,19631.956912028727,1164,165,0.14175257731958762
40009966800,0,879395840.0,5639,6.41235691995086,4408,0.21830111721936513,709,98,0,0,112,145,5639,312,5639,41231300,1767,23334.069043576685,688,4009,0.1716138687952108,38415000,1283,29941.543257989088,3877,698,0.18003611039463502
40011958600,0,378385122.0,1593,4.209996396211371,1522,0.044569993722536096,0,0,7,0,9,10,1593,59,1593,20677100,650,31810.923076923078,166,1533,0.10828440965427266,17427500,516,33774.22480620155,1081,246,0.22756706753006475
40011958700,0,336133691.0,1828,5.438312341026237,1469,0.1963894967177243,0,292,0,0,18,28,1828,45,1828,18805200,756,24874.603174603173,355,1828,0.19420131291028447,12095000,623,19414.125200642055,1219,190,0.15586546349466776
40011958800,0,1076629256.0,1402,1.3022124303112939,1268,0.09557774607703282,3,80,0,0,14,30,1402,24,1402,15565400,547,28455.941499085922,237,1402,0.16904422253922968,8402500,455,18467.032967032967,928,170,0.18318965517241378
40011958900,0,68891879.0,5164,74.95803678108416,3028,0.4136328427575523,701,415,96,94,311,305,5164,601,5164,37738500,1451,26008.614748449345,666,3728,0.1786480686695279,49720000,1040,47807.692307692305,3531,525,0.14868309260832624
40011959000,0,544587935.0,1989,3.6523027268314343,1515,0.2383107088989442,64,275,0,0,49,53,1989,93,1989,17436900,762,22883.070866141734,327,1887,0.17329093799682035,19535000,563,34698.04618117229,1359,242,0.1780721118469463
40013995600,0,811928657.0,2488,3.064308641590415,1873,0.24718649517684887,10,449,5,0,81,63,2488,103,2488,22252100,953,23349.5278069255,601,2477,0.24263221639079532,15072500,783,19249.680715197956,1645,254,0.15440729483282675
40013995700,0,449877429.0,3227,7.1730649105314415,2559,0.20700340873876666,0,456,0,0,30,172,3227,47,3227,32577300,1294,25175.65687789799,537,3182,0.16876178504085482,24845000,994,24994.96981891348,2169,350,0.16136468418626096
40013995900,0,216816286.0,1730,7.9791054072386425,1308,0.24393063583815028,51,256,2,0,3,95,1730,36,1730,16404600,673,24375.334323922732,426,1730,0.24624277456647398,16042500,552,29062.5,1117,142,0.12712623097582812
40013996000,0,541009910.0,7903,14.60786550102197,6445,0.18448690370745285,18,981,15,0,38,354,7903,103,7903,83168500,3109,26750.884528787392,1001,7805,0.12825112107623318,72792500,2477,29387.3637464675,5304,1137,0.21436651583710406
40013996100,0,58475140.0,5464,93.44141801114114,4549,0.1674597364568082,36,480,30,0,51,284,5464,102,5464,78953700,2187,36101.37174211248,513,5456,0.09402492668621701,141870000,1627,87197.29563614013,3580,1469,0.4103351955307263
40013996200,0,3402344.0,4224,1241.4970385122729,3297,0.21946022727272727,143,522,30,0,57,141,4224,96,4224,34460400,1699,20282.75456150677,974,3536,0.2754524886877828,35010000,593,59038.78583473861,2110,598,0.2834123222748815
40013996300,0,1600059.0,1783,1114.333908937108,1340,0.24845765563656758,11,291,21,0,29,34,1783,90,1783,17600200,668,26347.604790419162,330,1696,0.1945754716981132,16085000,314,51226.11464968153,979,275,0.2808988764044944
40013996400,0,10704080.0,2146,200.48430131314416,1563,0.271668219944082,11,356,15,0,66,111,2146,111,2146,12554100,906,13856.622516556292,769,2133,0.3605250820440694,13267500,424,31291.27358490566,1286,94,0.07309486780715396
40013996500,0,51384860.0,2610,50.7931713738249,1938,0.2574712643678161,0,564,10,0,19,68,2610,30,2610,24810400,1023,24252.590420332355,597,2605,0.2291746641074856,24112500,675,35722.22222222222,1684,220,0.13064133016627077
40013996600,0,197369194.0,4959,25.125501601835595,3977,0.19802379511998386,256,339,0,0,25,288,4959,105,4959,52019500,1949,26690.354027706515,781,4901,0.15935523362579065,48600000,1553,31294.269156471346,3301,448,0.13571644956073917
40015961600,0,684718369.0,5361,7.829496392552599,4067,0.24137287819436673,351,376,2,2,243,227,5361,390,5361,51419100,1785,28806.21848739496,765,4573,0.16728624535315986,51535000,1407,36627.576403695806,3667,481,0.13116989364603218
40015961700,0,392729612.0,1870,4.761545712015217,1621,0.13315508021390374,0,78,3,5,64,49,1870,140,1870,17351500,725,23933.103448275862,364,1854,0.19633225458468176,16167500,516,31332.36434108527,1188,264,0.2222222222222222
40015961800,0,556499598.0,3660,6.576824157921494,2349,0.3581967213114754,32,906,9,0,197,108,3660,291,3660,31555600,1422,22190.99859353024,863,3591,0.240323029796714,34787500,1044,33321.360153256705,2430,383,0.15761316872427983
40015961900,0,291095888.0,1813,6.228188286878171,1255,0.30777716492002205,32,440,2,0,8,76,1813,43,1813,16783700,708,23705.790960451977,404,1800,0.22444444444444445,17172500,558,30775.089605734767,1190,201,0.1689075630252101
40015962000,0,734775665.0,3560,4.845016199604269,2531,0.2890449438202247,14,684,0,0,50,222,3560,209,3560,40805200,1358,30048.0117820324,651,3546,0.18358714043993232,34385000,1135,30295.154185022027,2371,443,0.18684099536060733
40015962100,0,98666258.0,7786,78.91248900916055,2934,0.6231697919342409,487,3405,17,0,238,509,7786,678,7786,61218200,2643,23162.391222096103,2151,7476,0.2877207062600321,71992500,1654,43526.299879081016,4277,880,0.20575169511339725
40015962200,0,325642360.0,3031,9.307757135773123,1928,0.36390630155064335,16,897,8,5,46,105,3031,136,3031,30578400,1117,27375.47000895255,520,3019,0.17224246439218285,32125000,833,38565.426170468185,1874,288,0.1536819637139808
40015962300,0,226655010.0,3069,13.54040221744933,2582,0.1586836102965135,27,347,2,1,9,82,3069,30,3069,29414700,1185,24822.53164556962,542,2998,0.180787191460974,31300000,906,34547.46136865342,2023,262,0.12951062778052397
40017300100,0,718162986.0,2452,3.4142667441788763,2089,0.14804241435562807,5,211,5,0,39,74,2452,68,2452,30152600,914,32989.71553610503,296,2440,0.12131147540983607,22780000,750,30373.333333333332,1567,310,0.19783024888321635
40017300201,0,264028640.0,3661,13.865920000193919,3352,0.08440316853318765,23,113,0,0,67,80,3661,117,3661,63435600,1237,51281.81083265966,144,3661,0.03933351543294182,97272500,1129,86158.10451727192,2351,874,0.37175669927690347
40017300202,0,457012643.0,4070,8.905661719297337,3242,0.20343980343980345,54,449,2,0,71,202,4070,227,4070,50617500,1499,33767.51167444963,623,4042,0.1541316180108857,54187500,1120,48381.69642857143,2492,524,0.2102728731942215
40017300300,0,2400402.0,3291,1371.0203540906898,2456,0.25372227286539045,109,373,0,0,111,116,3291,261,3291,34749400,1217,28553.327855382086,463,3263,0.14189396261109408,39160000,772,50725.38860103627,1982,334,0.16851664984863773
40017300400,0,3084917.0,1147,371.80903084264503,410,0.6425457715780296,366,221,0,0,86,30,1147,161,1147,8282000,406,20399.014778325123,449,1060,0.4235849056603774,6842500,184,37187.5,713,68,0.09537166900420757
