Variable,3.000000 km,total,Beyond
B15002_023E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!7th and 8th grade,37696,2501796,2464100
B15002_020E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!No schooling completed,33087,1208703,1175616
B15002_018E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!Doctorate degree,10825,1491134,1480309
B15002_004E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!Nursery to 4th grade,28214,957513,929299
B15002_016E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!Master's degree,53409,6622227,6568818
B15002_026E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!11th grade,36791,2580828,2544037
B15002_024E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!9th grade,34972,1950147,1915175
B15002_022E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!5th and 6th grade,61796,1880572,1818776
B15002_033E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!Master's degree,60385,7830977,7770592
B15002_032E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!Bachelor's degree,147875,18399446,18251571
B15002_015E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!Bachelor's degree,142140,17132648,16990508
B15002_007E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!9th grade,37749,2027292,1989543
"B15002_013E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!Some college, 1 or more years, no degree",129203,13745915,13616712
B15002_001E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Total:,2102420,202156388,200053968
B15002_008E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!10th grade,34815,2399502,2364687
"B15002_011E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!High school graduate, GED, or alternative",282366,28169832,27887466
B15002_003E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!No schooling completed,26117,1126232,1100115
B15002_009E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!11th grade,36280,2560015,2523735
B15002_031E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!Associate's degree,70987,8660007,8589020
B15002_019E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:,1072478,104992831,103920353
B15002_021E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!Nursery to 4th grade,29922,953871,923949
"B15002_030E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!Some college, 1 or more years, no degree",136553,15111065,14974512
B15002_017E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!Professional school degree,15840,2374981,2359141
B15002_005E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!5th and 6th grade,62567,1932012,1869445
B15002_034E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!Professional school degree,12950,1552144,1539194
"B15002_027E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!12th grade, no diploma",29039,1825532,1796493
B15002_025E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!10th grade,34242,2415866,2381624
"B15002_028E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!High school graduate, GED, or alternative",282666,30346682,30064016
B15002_006E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!7th and 8th grade,34638,2401045,2366407
B15002_014E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!Associate's degree,57184,6568897,6511713
"B15002_029E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!Some college, less than 1 year",56221,6930784,6874563
"B15002_012E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!Some college, less than 1 year",46067,5688555,5642488
B15002_035E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!Doctorate degree,7296,844411,837115
B15002_002E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:,1029942,97163557,96133615
"B15002_010E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!12th grade, no diploma",32528,1965757,1933229
