Variable,3.000000 km,total,Beyond
P006005 : P6. Race [8] : Total:  Asian alone,709047.1861720834,10180517,9471469.813827917
P006004 : P6. Race [8] : Total:  American Indian and Alaska Native alone,81138.01567274032,2458321,2377182.9843272595
P006007 : P6. Race [8] : Total:  Some other race alone,1409378.0159606682,15695722,14286343.984039333
P006006 : P6. Race [8] : Total:  Native Hawaiian and Other Pacific Islander alone,20778.68195291423,379208,358429.3180470858
P006001 : P6. Race [8] : Total population,11518676.376036149,285230516,273711839.62396383
P006003 : P6. Race [8] : Total:  Black or African American alone,2011170.283648446,34661413,32650242.716351554
P006002 : P6. Race [8] : Total:  White alone,6877692.286762839,214421834,207544141.71323717
P006008 : P6. Race [8] : Total:  Two or more races,409471.9058664485,7433501,7024029.094133551
