Variable,3.000000 km,total,Beyond
B15002_023E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!7th and 8th grade,6908,2501796,2494888
B15002_020E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!No schooling completed,3258,1208703,1205445
B15002_018E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!Doctorate degree,3307,1491134,1487827
B15002_004E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!Nursery to 4th grade,1261,957513,956252
B15002_016E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!Master's degree,13882,6622227,6608345
B15002_026E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!11th grade,9520,2580828,2571308
B15002_024E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!9th grade,5968,1950147,1944179
B15002_022E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!5th and 6th grade,3314,1880572,1877258
B15002_033E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!Master's degree,16687,7830977,7814290
B15002_032E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!Bachelor's degree,35917,18399446,18363529
B15002_015E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!Bachelor's degree,34266,17132648,17098382
B15002_007E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!9th grade,5053,2027292,2022239
"B15002_013E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!Some college, 1 or more years, no degree",26672,13745915,13719243
B15002_001E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Total:,481038,202156388,201675350
B15002_008E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!10th grade,7598,2399502,2391904
"B15002_011E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!High school graduate, GED, or alternative",77774,28169832,28092058
B15002_003E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!No schooling completed,2533,1126232,1123699
B15002_009E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!11th grade,7677,2560015,2552338
B15002_031E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!Associate's degree,18268,8660007,8641739
B15002_019E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:,256108,104992831,104736723
B15002_021E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!Nursery to 4th grade,1735,953871,952136
"B15002_030E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!Some college, 1 or more years, no degree",30767,15111065,15080298
B15002_017E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!Professional school degree,5275,2374981,2369706
B15002_005E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!5th and 6th grade,3239,1932012,1928773
B15002_034E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!Professional school degree,3382,1552144,1548762
"B15002_027E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!12th grade, no diploma",5168,1825532,1820364
B15002_025E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!10th grade,8866,2415866,2407000
"B15002_028E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!High school graduate, GED, or alternative",89147,30346682,30257535
B15002_006E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!7th and 8th grade,5219,2401045,2395826
B15002_014E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!Associate's degree,13281,6568897,6555616
"B15002_029E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!Some college, less than 1 year",15195,6930784,6915589
"B15002_012E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!Some college, less than 1 year",12515,5688555,5676040
B15002_035E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Female:!!Doctorate degree,2008,844411,842403
B15002_002E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:,224930,97163557,96938627
"B15002_010E : B15002.  Sex by Educational Attainment for the Population 25 Years and over : Male:!!12th grade, no diploma",5378,1965757,1960379
