Variable,3.000000 km,total,Beyond
P006003 : P6. Race [8] : Total:  Black or African American alone,26284,34661413,34635129
P006004 : P6. Race [8] : Total:  American Indian and Alaska Native alone,1408,2458321,2456913
P006002 : P6. Race [8] : Total:  White alone,162696,214421834,214259138
P006007 : P6. Race [8] : Total:  Some other race alone,10537,15695722,15685185
P006005 : P6. Race [8] : Total:  Asian alone,6671,10180517,10173846
P005001 : P5. Urban and Rural [7] : Total population,213004,285230516,285017512
P005002 : P5. Urban and Rural [7] : Total:  Urban:,212827,225953257,225740430
P005003 : P5. Urban and Rural [7] : Total:  Urban:  Inside urbanized areas,193260,195814547,195621287
P005004 : P5. Urban and Rural [7] : Total:  Urban:  Inside urban clusters,19567,30138710,30119143
P005005 : P5. Urban and Rural [7] : Total:  Rural:,177,59277259,59277082
P005006 : P5. Urban and Rural [7] : Total:  Rural:  Farm,18,2993055,2993037
P005007 : P5. Urban and Rural [7] : Total:  Rural:  Nonfarm,159,56284204,56284045
P006006 : P6. Race [8] : Total:  Native Hawaiian and Other Pacific Islander alone,191,379208,379017
P006001 : P6. Race [8] : Total population,213004,285230516,285017512
P006008 : P6. Race [8] : Total:  Two or more races,5217,7433501,7428284
