Variable,3.000000 km,total,Beyond
P006003 : P6. Race [8] : Total:  Black or African American alone,619008,34661413,34042405
P006004 : P6. Race [8] : Total:  American Indian and Alaska Native alone,14001,2458321,2444320
P006002 : P6. Race [8] : Total:  White alone,1317819,214421834,213104015
P006007 : P6. Race [8] : Total:  Some other race alone,131491,15695722,15564231
P006005 : P6. Race [8] : Total:  Asian alone,73753,10180517,10106764
P005001 : P5. Urban and Rural [7] : Total population,2215046,285230516,283015470
P005002 : P5. Urban and Rural [7] : Total:  Urban:,2205020,225953257,223748237
P005003 : P5. Urban and Rural [7] : Total:  Urban:  Inside urbanized areas,2142887,195814547,193671660
P005004 : P5. Urban and Rural [7] : Total:  Urban:  Inside urban clusters,62133,30138710,30076577
P005005 : P5. Urban and Rural [7] : Total:  Rural:,10026,59277259,59267233
P005006 : P5. Urban and Rural [7] : Total:  Rural:  Farm,216,2993055,2992839
P005007 : P5. Urban and Rural [7] : Total:  Rural:  Nonfarm,9810,56284204,56274394
P006006 : P6. Race [8] : Total:  Native Hawaiian and Other Pacific Islander alone,867,379208,378341
P006001 : P6. Race [8] : Total population,2215046,285230516,283015470
P006008 : P6. Race [8] : Total:  Two or more races,58107,7433501,7375394
