tract ID,within 3km,land area,population,population density,white,percent people of color,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,race population,Hispanic or Latino,Hispanic or Latino population,aggregate income,income population,mean household income,poverty under 1,poverty population,percent below poverty,housing value,housing population,mean owner-occupied housing value,school population,with a degree,percent with a degree
26001000100,0,131526508.0,1849,14.05800266513576,1830,0.010275824770146024,0,0,9,0,0,0,1849,10,1849,43824100,884,49574.77375565611,178,1846,0.09642470205850487,186722500,827,225782.95042321645,1617,372,0.2300556586270872
26001970100,0,204225104.0,2659,13.019946852371294,2594,0.024445280180518992,7,8,4,0,1,22,2659,24,2659,49227500,1052,46794.201520912546,329,2589,0.12707609115488605,167730000,940,178436.17021276595,2131,517,0.24260910370717972
26001970400,0,426861526.0,2890,6.770345472643978,2852,0.01314878892733564,0,2,0,3,4,9,2890,33,2890,49488400,1110,44584.14414414414,420,2890,0.1453287197231834,0,974,0.0,2114,369,0.17455061494796595
26001970500,0,911304274.0,2371,2.6017654779483674,2277,0.0396457191058625,0,35,0,0,12,43,2371,22,2371,37651100,977,38537.4616171955,447,2357,0.18964785744590582,113165000,867,130524.79815455595,1898,247,0.13013698630136986
26001970600,0,73250733.0,1469,20.054406827574,1373,0.0653505786249149,18,0,0,0,2,61,1469,15,1469,26478300,585,45262.05128205128,256,1459,0.17546264564770392,0,549,0.0,1170,254,0.2170940170940171
26001990000,0,0.0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,
26003000100,0,968275209.0,3859,3.9854371609755836,3437,0.1093547551179062,157,124,21,0,5,87,3859,45,3859,72190300,1580,45690.06329113924,489,3558,0.13743676222596965,148535000,1147,129498.69224062773,2877,654,0.2273201251303441
26003000200,0,570347314.0,3128,5.4843775419270235,2943,0.05914322250639386,21,86,7,0,3,55,3128,16,3128,65611200,1283,51138.893219017926,312,2925,0.10666666666666667,184025000,1111,165639.06390639063,2380,734,0.30840336134453783
26003000300,0,831396519.0,2617,3.1477158494092756,1914,0.26862820022927014,611,24,17,0,9,11,2617,51,2617,45239700,825,54836.0,213,1753,0.1215059897318882,0,755,0.0,2116,388,0.1833648393194707
26003990000,0,0.0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,
26005030200,0,29605630.0,3451,116.56566673298288,3064,0.1121414082874529,0,41,114,0,15,0,3451,232,3451,114705700,1220,94021.0655737705,9,3451,0.002607939727615184,324485000,1084,299340.40590405907,2190,1048,0.4785388127853881
26005030300,0,184705700.0,7113,38.50991063080349,6902,0.029663995501194994,18,0,101,0,43,32,7113,60,7113,155555900,2472,62927.144012944984,572,7113,0.08041613946295516,456310000,2413,189104.84873601326,4473,1249,0.2792309412027722
26005030401,0,93622242.0,7366,78.67788511195876,6881,0.0658430627206082,231,0,10,0,130,37,7366,197,7366,174988600,2370,73834.85232067511,281,7311,0.0384352345780331,377187500,2297,164208.75054418808,4502,1093,0.24278098622834296
26005030402,0,88113272.0,4691,53.23829082184123,4526,0.0351737369430825,0,71,61,0,0,33,4691,0,4691,105044200,1677,62638.1633870006,336,4691,0.07162651886591345,0,1553,0.0,3138,910,0.289993626513703
