tract ID,within 3km,land area,population,population density,white,percent people of color,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,race population,Hispanic or Latino,Hispanic or Latino population,aggregate income,income population,mean household income,poverty under 1,poverty population,percent below poverty,housing value,housing population,mean owner-occupied housing value,school population,with a degree,percent with a degree
42001030101,0,54751241.0,2597,47.43271481280214,2477,0.04620716211012707,23,0,0,0,69,8,2597,89,2597,70443700,915,76987.65027322405,90,2597,0.0346553715825953,195415000,840,232636.90476190476,1784,527,0.2954035874439462
42001030102,0,68153470.0,5709,83.76682801330585,5339,0.06480994920301279,40,0,0,0,267,9,5709,321,5709,177848100,2220,80111.75675675676,413,5709,0.07234191627255211,487077500,1894,257168.69060190074,3990,1060,0.2656641604010025
42001030200,0,121160530.0,5656,46.68186908723493,4790,0.15311173974540312,70,0,10,0,392,133,5656,694,5656,130734800,2111,61930.27001421127,411,5588,0.07355046528274875,353147500,1677,210582.88610614193,3785,696,0.18388375165125495
42001030300,0,111758049.0,3932,35.18314819543781,3259,0.17115971515768058,52,0,12,0,259,0,3932,609,3932,88928400,1438,61841.72461752434,153,3913,0.03910043444927166,0,1097,0.0,2560,579,0.226171875
42001030400,0,178435582.0,5661,31.725735061070946,5017,0.11376081964317258,103,0,71,0,273,62,5661,374,5661,147794800,2218,66634.26510369702,433,5658,0.07652880876634853,373587500,1766,211544.45073612683,3886,921,0.23700463201235203
42001030500,0,63752341.0,3676,57.66062770934168,3176,0.13601741022850924,46,0,16,0,326,64,3676,329,3676,101776300,1541,66045.61972744971,245,3670,0.0667574931880109,278772500,1214,229631.3838550247,2622,708,0.2700228832951945
42001030600,0,88828477.0,4917,55.35387035848875,4041,0.1781574130567419,40,0,23,0,641,52,4917,761,4917,120677000,1642,73493.90986601706,464,4514,0.10279131590607,288092500,1231,234031.27538586516,3390,895,0.2640117994100295
42001030700,0,81268436.0,6647,81.79067208823854,6049,0.08996539792387544,28,0,65,0,100,114,6647,396,6647,147052900,2532,58077.76461295419,745,6629,0.11238497510936793,438185000,2117,206983.93953708076,4489,797,0.17754511026954778
42001030800,0,58214226.0,7315,125.6565706121387,6682,0.08653451811346548,142,0,210,11,82,110,7315,181,7315,188454500,2868,65709.37935843793,437,7299,0.05987121523496369,0,2387,0.0,5204,1081,0.20772482705611067
42001030900,0,26163685.0,7223,276.0696744361507,6413,0.11214176934791638,52,0,28,0,430,49,7223,689,7223,166835900,3035,54970.642504118616,591,7073,0.08355718931146613,370857500,1987,186641.92249622545,5125,988,0.19278048780487805
